James A Dick Co,1801 San Pedro Dr NE,NM,Albuquerque,87110
"7-Eleven, Inc.",100 W Sandy Lake Rd,TX,Coppell,75019
"7-Eleven, Inc.",3957 Saratoga Blvd,TX,Corpus Christi,78415
National Retail Properties LP,2719 E Saunders St,TX,Laredo,780415446
Robert K Chin,100 E Shady Grove Rd,TX,Irving,750606011
,5712 Skillman St,TX,Dallas,752062802
Scs Finance Ii,2315 Southern Blvd,NM,Rio Rancho,87124
"7-Eleven, Inc.",100 W Spring Creek Pky,TX,Plano,750234608
"7-Eleven, Inc.",2025 W Spring Creek Pky,TX,Plano,750234206
Cl Ii Living Trust C,4001 W Spring Creek Pky,TX,Plano,750245230
Harris Family The,170 E Spring Valley Rd,TX,Richardson,750815043
"7-Eleven, Inc.",2207 State Highway 35 N,TX,Port Lavaca,779795208
Hp Hwy 360 Ltd,2610 N State Highway 360,TX,Grand Prairie,750506407
Arch Pardue Investments,2607 N Stemmons Fwy,TX,Dallas,75207
,19185 Stone Oak Pky,TX,San Antonio,78258
"7-Eleven, Inc.",3401 N Story Rd,TX,Irving,750623440
Michael M. Izrael,1900 E Sublett Rd,TX,Arlington,76018
Mcguire Clair Trust,3429 N Tarrant Pky,TX,Fort Worth,761778597
Kld Ents Llc,6921 Taylor Ranch Dr NW,NM,Albuquerque,87120
"7-Eleven, Inc.",4005 Teasley Ln,TX,Denton,762108425
"7-Eleven, Inc.",2899 Thousand Oaks Dr,TX,San Antonio,782324151
Rankin Family Lp,3801 N Town East Blvd,TX,Mesquite,751503750
Windridge Real Estate,1541 University Dr,TX,Prosper,75078
National Retail Properties LP,1415 E University Dr,TX,Edinburg,785393709
Custer & Skinner 380 Llc,8885 W University Dr,TX,McKinney,75071
Myung H & Connie K Choi 2004 Family Trust,701 S University Parks Dr,TX,Waco,76706
,10987 S US Highway 181,TX,San Antonio,78223
Retail Property Partners Ltd,26950 US Highway 281,TX,San Antonio,782602120
"7-Eleven, Inc.",5684 Us Highway 77 S,TX,Victoria,779054241
Arch Pardue Investments,106 Us Highway 80 E,TX,Mesquite,751491657
National Retail Properties LP,822 W Us Highway 83,TX,San Juan,785892177
"7-Eleven, Inc.",2124 E Us-190 Hwy,TX,Copperas Cove,76522
SEJ Asset Management & Inv Co,5445 W Us-290,TX,Austin,787358801
,100 E Us-80 Hwy,TX,Forney,75126
Silveira Family Co Llc,900 Valley Ridge Blvd,TX,Lewisville,750772991
"7-Eleven, Inc.",5020 W Virginia Pky,TX,McKinney,750715599
"7-Eleven, Inc.",1814 N W S Young Dr,TX,Killeen,765433179
"7-Eleven, Inc.",1000 S W S Young Dr,TX,Killeen,76543
"7-Eleven, Inc.",2986 Walnut Hill Ln,TX,Dallas,752295712
,9750 Walnut Hill Ln,TX,Dallas,75238
,10811 Webbs Chapel Rd,TX,Dallas,75229
"7-Eleven, Inc.",629 S Wells St,TX,Edna,779573760
National Retail Properties LP,2302 West Ave,TX,San Antonio,78201
